"scaff" "geneID" "CHROM"
"1" "ScA8VGg_100;HRSCAF=169" "LOC110178064" "NA"
"189" "ScA8VGg_192;HRSCAF=315" "LOC110184967" "NA"
"190" "ScA8VGg_192;HRSCAF=315" "LOC110184945" "NA"
"191" "ScA8VGg_192;HRSCAF=315" "LOC110184944" "NA"
"192" "ScA8VGg_192;HRSCAF=315" "LOC110184981" "NA"
"193" "ScA8VGg_192;HRSCAF=315" "LOC110184983" "NA"
"194" "ScA8VGg_192;HRSCAF=315" "LOC110184982" "NA"
"195" "ScA8VGg_192;HRSCAF=315" "LOC110184951" "NA"
"196" "ScA8VGg_192;HRSCAF=315" "LOC110184952" "NA"
"197" "ScA8VGg_192;HRSCAF=315" "LOC110184978" "NA"
"198" "ScA8VGg_192;HRSCAF=315" "LOC110184980" "NA"
"199" "ScA8VGg_192;HRSCAF=315" "LOC110184979" "NA"
"200" "ScA8VGg_192;HRSCAF=315" "LOC110184962" "NA"
"201" "ScA8VGg_192;HRSCAF=315" "LOC110184959" "NA"
"202" "ScA8VGg_192;HRSCAF=315" "LOC110184960" "NA"
"203" "ScA8VGg_192;HRSCAF=315" "LOC110184946" "NA"
"204" "ScA8VGg_192;HRSCAF=315" "LOC110184988" "NA"
"205" "ScA8VGg_192;HRSCAF=315" "LOC110184966" "NA"
"206" "ScA8VGg_192;HRSCAF=315" "LOC110184964" "NA"
"207" "ScA8VGg_192;HRSCAF=315" "LOC110184958" "NA"
"208" "ScA8VGg_192;HRSCAF=315" "LOC110184975" "NA"
"209" "ScA8VGg_192;HRSCAF=315" "LOC110184940" "NA"
"210" "ScA8VGg_192;HRSCAF=315" "LOC110181321" "NA"
"211" "ScA8VGg_192;HRSCAF=315" "LOC110184908" "NA"
"212" "ScA8VGg_192;HRSCAF=315" "LOC110184923" "NA"
"213" "ScA8VGg_192;HRSCAF=315" "LOC110184903" "NA"
"214" "ScA8VGg_192;HRSCAF=315" "LOC110184904" "NA"
"215" "ScA8VGg_192;HRSCAF=315" "LOC110184906" "NA"
"216" "ScA8VGg_192;HRSCAF=315" "LOC110184907" "NA"
"217" "ScA8VGg_192;HRSCAF=315" "LOC110184889" "NA"
"218" "ScA8VGg_192;HRSCAF=315" "LOC110184860" "NA"
"219" "ScA8VGg_192;HRSCAF=315" "LOC110184861" "NA"
"220" "ScA8VGg_192;HRSCAF=315" "LOC110184913" "NA"
"221" "ScA8VGg_192;HRSCAF=315" "LOC110184912" "NA"
"222" "ScA8VGg_192;HRSCAF=315" "LOC110184909" "NA"
"223" "ScA8VGg_192;HRSCAF=315" "LOC110184925" "NA"
"224" "ScA8VGg_192;HRSCAF=315" "LOC110184886" "NA"
"225" "ScA8VGg_192;HRSCAF=315" "LOC110184888" "NA"
"226" "ScA8VGg_192;HRSCAF=315" "LOC110184920" "NA"
"227" "ScA8VGg_192;HRSCAF=315" "LOC110184885" "NA"
"228" "ScA8VGg_192;HRSCAF=315" "LOC110184910" "NA"
"229" "ScA8VGg_192;HRSCAF=315" "LOC110184884" "NA"
"230" "ScA8VGg_192;HRSCAF=315" "LOC110184883" "NA"
"231" "ScA8VGg_192;HRSCAF=315" "LOC110184932" "NA"
"232" "ScA8VGg_192;HRSCAF=315" "LOC110184924" "NA"
"233" "ScA8VGg_192;HRSCAF=315" "LOC110184881" "NA"
"234" "ScA8VGg_192;HRSCAF=315" "LOC110184916" "NA"
"235" "ScA8VGg_192;HRSCAF=315" "LOC110184862" "NA"
"236" "ScA8VGg_192;HRSCAF=315" "LOC110184887" "NA"
"237" "ScA8VGg_192;HRSCAF=315" "LOC110184893" "NA"
"238" "ScA8VGg_192;HRSCAF=315" "LOC110184894" "NA"
"239" "ScA8VGg_192;HRSCAF=315" "LOC110184895" "NA"
"240" "ScA8VGg_192;HRSCAF=315" "LOC110184865" "NA"
"241" "ScA8VGg_192;HRSCAF=315" "LOC110184864" "NA"
"242" "ScA8VGg_192;HRSCAF=315" "LOC110184863" "NA"
"243" "ScA8VGg_192;HRSCAF=315" "LOC110184896" "NA"
"244" "ScA8VGg_192;HRSCAF=315" "LOC110184897" "NA"
"245" "ScA8VGg_192;HRSCAF=315" "LOC110184856" "NA"
"246" "ScA8VGg_192;HRSCAF=315" "LOC110184869" "NA"
"247" "ScA8VGg_192;HRSCAF=315" "LOC110184868" "NA"
"248" "ScA8VGg_192;HRSCAF=315" "LOC110184857" "NA"
"249" "ScA8VGg_192;HRSCAF=315" "LOC110184919" "NA"
"250" "ScA8VGg_192;HRSCAF=315" "LOC110184918" "NA"
"251" "ScA8VGg_192;HRSCAF=315" "LOC110184891" "NA"
"252" "ScA8VGg_192;HRSCAF=315" "LOC110184859" "NA"
"253" "ScA8VGg_192;HRSCAF=315" "LOC110184879" "NA"
"254" "ScA8VGg_192;HRSCAF=315" "LOC110184890" "NA"
"255" "ScA8VGg_192;HRSCAF=315" "LOC110184938" "NA"
"256" "ScA8VGg_192;HRSCAF=315" "LOC110184936" "NA"
"257" "ScA8VGg_192;HRSCAF=315" "LOC110184937" "NA"
"258" "ScA8VGg_192;HRSCAF=315" "LOC110184935" "NA"
"259" "ScA8VGg_192;HRSCAF=315" "LOC110184870" "NA"
"260" "ScA8VGg_192;HRSCAF=315" "LOC110184871" "NA"
"261" "ScA8VGg_192;HRSCAF=315" "LOC110184922" "NA"
"262" "ScA8VGg_192;HRSCAF=315" "LOC110184905" "NA"
"263" "ScA8VGg_192;HRSCAF=315" "LOC110184914" "NA"
"264" "ScA8VGg_192;HRSCAF=315" "LOC110184927" "NA"
"265" "ScA8VGg_192;HRSCAF=315" "LOC110184899" "NA"
"266" "ScA8VGg_192;HRSCAF=315" "LOC110184898" "NA"
"267" "ScA8VGg_192;HRSCAF=315" "LOC110184901" "NA"
"268" "ScA8VGg_192;HRSCAF=315" "LOC110184849" "NA"
"269" "ScA8VGg_192;HRSCAF=315" "LOC110184854" "NA"
"270" "ScA8VGg_192;HRSCAF=315" "LOC110184855" "NA"
"271" "ScA8VGg_192;HRSCAF=315" "LOC110184852" "NA"
"272" "ScA8VGg_192;HRSCAF=315" "LOC110184853" "NA"
"273" "ScA8VGg_192;HRSCAF=315" "LOC110184850" "NA"
"274" "ScA8VGg_192;HRSCAF=315" "LOC110184878" "NA"
"275" "ScA8VGg_192;HRSCAF=315" "LOC110184866" "NA"
"276" "ScA8VGg_192;HRSCAF=315" "LOC110184867" "NA"
"277" "ScA8VGg_192;HRSCAF=315" "LOC110184917" "NA"
"278" "ScA8VGg_192;HRSCAF=315" "LOC110184921" "NA"
"279" "ScA8VGg_192;HRSCAF=315" "LOC110184877" "NA"
"280" "ScA8VGg_192;HRSCAF=315" "LOC110184892" "NA"
"281" "ScA8VGg_192;HRSCAF=315" "LOC110184858" "NA"
"282" "ScA8VGg_192;HRSCAF=315" "LOC110184934" "NA"
"283" "ScA8VGg_192;HRSCAF=315" "LOC110184930" "NA"
"284" "ScA8VGg_192;HRSCAF=315" "LOC110184931" "NA"
"285" "ScA8VGg_192;HRSCAF=315" "LOC110184875" "NA"
"286" "ScA8VGg_192;HRSCAF=315" "LOC110184933" "NA"
"287" "ScA8VGg_192;HRSCAF=315" "LOC110184874" "NA"
"288" "ScA8VGg_192;HRSCAF=315" "LOC110184873" "NA"
"289" "ScA8VGg_192;HRSCAF=315" "LOC110179784" "NA"
"290" "ScA8VGg_192;HRSCAF=315" "LOC110179787" "NA"
"291" "ScA8VGg_192;HRSCAF=315" "LOC110179785" "NA"
"292" "ScA8VGg_192;HRSCAF=315" "LOC110179786" "NA"
"293" "ScA8VGg_192;HRSCAF=315" "LOC110179803" "NA"
"294" "ScA8VGg_192;HRSCAF=315" "LOC110179792" "NA"
"295" "ScA8VGg_192;HRSCAF=315" "LOC110179791" "NA"
"296" "ScA8VGg_192;HRSCAF=315" "LOC110179788" "NA"
"297" "ScA8VGg_192;HRSCAF=315" "LOC110184848" "NA"
"298" "ScA8VGg_192;HRSCAF=315" "LOC110184843" "NA"
"299" "ScA8VGg_192;HRSCAF=315" "LOC110184845" "NA"
"300" "ScA8VGg_192;HRSCAF=315" "LOC110179767" "NA"
"301" "ScA8VGg_192;HRSCAF=315" "LOC110179766" "NA"
"302" "ScA8VGg_192;HRSCAF=315" "LOC110179797" "NA"
"303" "ScA8VGg_192;HRSCAF=315" "LOC110184834" "NA"
"304" "ScA8VGg_192;HRSCAF=315" "LOC110184838" "NA"
"305" "ScA8VGg_192;HRSCAF=315" "LOC110184831" "NA"
"306" "ScA8VGg_192;HRSCAF=315" "LOC110184832" "NA"
"307" "ScA8VGg_192;HRSCAF=315" "LOC110184840" "NA"
"308" "ScA8VGg_192;HRSCAF=315" "LOC110184841" "NA"
"309" "ScA8VGg_192;HRSCAF=315" "LOC110184837" "NA"
"310" "ScA8VGg_192;HRSCAF=315" "LOC110184842" "NA"
"311" "ScA8VGg_192;HRSCAF=315" "LOC110179770" "NA"
"312" "ScA8VGg_192;HRSCAF=315" "LOC110179769" "NA"
"313" "ScA8VGg_192;HRSCAF=315" "LOC110179771" "NA"
"314" "ScA8VGg_192;HRSCAF=315" "LOC110179772" "NA"
"315" "ScA8VGg_192;HRSCAF=315" "LOC110179768" "NA"
"316" "ScA8VGg_192;HRSCAF=315" "LOC110179774" "NA"
"317" "ScA8VGg_192;HRSCAF=315" "LOC110179773" "NA"
"318" "ScA8VGg_192;HRSCAF=315" "LOC110184821" "NA"
"319" "ScA8VGg_192;HRSCAF=315" "LOC110184824" "NA"
"320" "ScA8VGg_192;HRSCAF=315" "LOC110184822" "NA"
"321" "ScA8VGg_192;HRSCAF=315" "LOC110184817" "NA"
"322" "ScA8VGg_192;HRSCAF=315" "LOC110184818" "NA"
"323" "ScA8VGg_192;HRSCAF=315" "LOC110184829" "NA"
"324" "ScA8VGg_192;HRSCAF=315" "LOC110184828" "NA"
"325" "ScA8VGg_192;HRSCAF=315" "LOC110184827" "NA"
"326" "ScA8VGg_192;HRSCAF=315" "LOC110184819" "NA"
"327" "ScA8VGg_192;HRSCAF=315" "LOC110184820" "NA"
"328" "ScA8VGg_192;HRSCAF=315" "LOC110184825" "NA"
"329" "ScA8VGg_192;HRSCAF=315" "LOC110184826" "NA"
"330" "ScA8VGg_192;HRSCAF=315" "LOC110179804" "NA"
"331" "ScA8VGg_192;HRSCAF=315" "LOC110179805" "NA"
"332" "ScA8VGg_192;HRSCAF=315" "LOC110179806" "NA"
"333" "ScA8VGg_192;HRSCAF=315" "LOC110183904" "NA"
"334" "ScA8VGg_192;HRSCAF=315" "LOC110183907" "NA"
"335" "ScA8VGg_192;HRSCAF=315" "LOC110177979" "NA"
"336" "ScA8VGg_192;HRSCAF=315" "LOC110183909" "NA"
"337" "ScA8VGg_195;HRSCAF=322" "LOC110179855" "NA"
"338" "ScA8VGg_19;HRSCAF=32" "LOC110183699" "NA"
"339" "ScA8VGg_1;HRSCAF=2" "LOC110191104" "NA"
"340" "ScA8VGg_1;HRSCAF=2" "LOC110175912" "NA"
"341" "ScA8VGg_1;HRSCAF=2" "LOC110176798" "NA"
"342" "ScA8VGg_1;HRSCAF=2" "LOC110177635" "NA"
"343" "ScA8VGg_1;HRSCAF=2" "LOC110178485" "NA"
"344" "ScA8VGg_1;HRSCAF=2" "LOC110179325" "NA"
"345" "ScA8VGg_206;HRSCAF=340" "LOC110179879" "NA"
"346" "ScA8VGg_20;HRSCAF=33" "LOC110183704" "NA"
"347" "ScA8VGg_217;HRSCAF=360" "LOC110179910" "NA"
"348" "ScA8VGg_217;HRSCAF=360" "LOC110179913" "NA"
"349" "ScA8VGg_217;HRSCAF=360" "LOC110179915" "NA"
"350" "ScA8VGg_217;HRSCAF=360" "LOC110179911" "NA"
"351" "ScA8VGg_217;HRSCAF=360" "LOC110179916" "NA"
"352" "ScA8VGg_217;HRSCAF=360" "LOC110179917" "NA"
"353" "ScA8VGg_218;HRSCAF=361" "LOC110187195" "NA"
"354" "ScA8VGg_218;HRSCAF=361" "LOC110187196" "NA"
"355" "ScA8VGg_218;HRSCAF=361" "LOC110179864" "NA"
"356" "ScA8VGg_218;HRSCAF=361" "LOC110179861" "NA"
"357" "ScA8VGg_218;HRSCAF=361" "LOC110179860" "NA"
"358" "ScA8VGg_218;HRSCAF=361" "LOC110179918" "NA"
"359" "ScA8VGg_218;HRSCAF=361" "LOC110179919" "NA"
"360" "ScA8VGg_21;HRSCAF=34" "LOC110183744" "NA"
"361" "ScA8VGg_21;HRSCAF=34" "LOC110183727" "NA"
"362" "ScA8VGg_21;HRSCAF=34" "LOC110183781" "NA"
"363" "ScA8VGg_21;HRSCAF=34" "LOC110183739" "NA"
"364" "ScA8VGg_221;HRSCAF=364" "LOC110179920" "NA"
"365" "ScA8VGg_22;HRSCAF=35" "LOC110183815" "NA"
"366" "ScA8VGg_233;HRSCAF=377" "LOC110179925" "NA"
"367" "ScA8VGg_233;HRSCAF=377" "LOC110179924" "NA"
"368" "ScA8VGg_23;HRSCAF=36" "LOC110183846" "NA"
"369" "ScA8VGg_23;HRSCAF=36" "LOC110183835" "NA"
"370" "ScA8VGg_244;HRSCAF=396" "LOC110180003" "NA"
"371" "ScA8VGg_244;HRSCAF=396" "LOC110180004" "NA"
"372" "ScA8VGg_245;HRSCAF=400" "LOC110180074" "NA"
"373" "ScA8VGg_24;HRSCAF=37" "LOC110183906" "NA"
"374" "ScA8VGg_24;HRSCAF=37" "LOC110183894" "NA"
"375" "ScA8VGg_269;HRSCAF=435" "LOC110180278" "NA"
"376" "ScA8VGg_274;HRSCAF=449" "LOC110180315" "NA"
"377" "ScA8VGg_283;HRSCAF=462" "LOC110180382" "NA"
"378" "ScA8VGg_293;HRSCAF=473" "LOC110180397" "NA"
"379" "ScA8VGg_293;HRSCAF=473" "LOC110180396" "NA"
"380" "ScA8VGg_29;HRSCAF=45" "LOC110187847" "NA"
"381" "ScA8VGg_29;HRSCAF=45" "LOC110187840" "NA"
"382" "ScA8VGg_300;HRSCAF=483" "LOC110180402" "NA"
"383" "ScA8VGg_300;HRSCAF=483" "LOC110180400" "NA"
"384" "ScA8VGg_300;HRSCAF=483" "LOC110180401" "NA"
"385" "ScA8VGg_303;HRSCAF=486" "LOC110180473" "NA"
"386" "ScA8VGg_304;HRSCAF=488" "LOC110180476" "NA"
